,Price,Brand Name,Year,Kms Driven,Fuel Type,Model Variant
59,630199,Maruti Suzuki,2016,45618,Petrol,Maruti Suzuki Baleno ALPHA 1.2 K12
60,681499,Maruti Suzuki,2015,29909,Petrol,Maruti Suzuki Ertiga ZXi
61,18,MG Motors,2020,24887,Petrol,MG Motors Hector SMART DCT PETROL
62,802799,Maruti Suzuki,2017,80280,Diesel,Maruti Suzuki Ertiga VDI SHVS
63,846399,Maruti Suzuki,2017,28630,Diesel,Maruti Suzuki Vitara Brezza ZDi
64,606799,Maruti Suzuki,2016,62721,Petrol,Maruti Suzuki Baleno ZETA 1.2 K12 AMT
65,606799,Maruti Suzuki,2016,62721,Petrol,Maruti Suzuki Baleno ZETA 1.2 K12 AMT
66,642499,Maruti Suzuki,2018,70029,Diesel,Maruti Suzuki Baleno DELTA DDIS 190
67,13,Mahindra,2019,49716,Diesel,Mahindra Marazzo M8 7 STR
68,547399,Honda,2014,53841,Petrol,Honda City SV MT PETROL
69,600000,Kia,2020,48000,Petrol,Kia Seltos 
70,600000,Kia,2020,48000,Diesel,Kia Seltos 
71,600000,Hyundai,2020,29000,Diesel,Hyundai Venue 
72,600000,Hyundai,2020,29000,Diesel,Hyundai Venue 
73,1000000,MG Motors,2020,36000,Diesel,MG Motors Hector 
74,14,Hyundai,2018,48000,Petrol,Hyundai Creta 1.6 SX Plus Petrol AT
75,14,Hyundai,2018,46000,Petrol,Hyundai Creta 1.6 SX Plus Petrol AT
76,980000,Maruti Suzuki,2018,57000,Diesel,Maruti Suzuki Vitara Brezza ZDi
77,440999,Maruti Suzuki,2018,14651,Petrol,Maruti Suzuki Eeco 5 STR WITH AC PLUSHTR
78,536499,Hyundai,2019,19489,Petrol,Hyundai Santro 
79,278899,Maruti Suzuki,2017,27704,Petrol,Maruti Suzuki OMNI E 8 STR
80,278899,Maruti Suzuki,2017,27704,Petrol,Maruti Suzuki OMNI E 8 STR
81,575699,Hyundai,2017,63089,Petrol,Hyundai Elite I20 Sportz 1.2
82,670699,Hyundai,2019,20235,Petrol,Hyundai Grand I10 NIOS 
83,11,Tata,2017,72986,Diesel,Tata Hexa Varicor 400 XTA
84,387899,Maruti Suzuki,2012,133978,Diesel,Maruti Suzuki Swift Dzire VDi BS IV
85,490000,Maruti Suzuki,2016,30649,Petrol,Maruti Suzuki Wagon R VXI BS IV
86,575000,Hyundai,2015,25000,Diesel,Hyundai Verna 1.6 CRDI SX O
87,550000,Mahindra,2013,40000,Diesel,Mahindra XUV 500 W8 AWD
88,275000,Renault,2018,35000,Petrol,Renault Kwid RXT Opt
89,350000,Hyundai,2012,40000,Diesel,Hyundai Verna 1.6 SX
90,475000,Hyundai,2015,35000,Diesel,Hyundai I20 Asta 1.4 CRDi Diesel
91,650000,Maruti Suzuki,2018,35000,Petrol,Maruti Suzuki Ertiga Vxi ABS
92,480000,Maruti Suzuki,2013,87048,Diesel,Maruti Suzuki Swift LDi
93,202599,Hyundai,2008,30958,Petrol,Hyundai I10 Sportz 1.2
94,145000,Maruti Suzuki,2009,57000,Petrol,Maruti Suzuki Alto LXi BS III
95,145000,Maruti Suzuki,2009,57000,Petrol,Maruti Suzuki Alto LXi BS III
96,485000,Hyundai,2014,72600,Petrol,Hyundai I20 Asta 1.2
97,800000,Ford,2019,36000,Petrol,Ford EcoSport Titanium 1.5L Ti VCT
98,600000,Kia,2020,48000,Diesel,Kia Seltos 
99,99000,Tata,2005,73000,Diesel,Tata Indica 
100,99000,Ford,2010,83000,Diesel,Ford Fiesta 
101,99000,Hyundai,2008,85000,Petrol,Hyundai I10 
102,89000,Maruti Suzuki,2009,63000,Petrol,Maruti Suzuki Alto 
103,574299,Hyundai,2017,37172,Petrol,Hyundai Elite I20 ASTA 1.2 (O)
104,993799,Hyundai,2019,53119,Petrol,Hyundai Venue 1.0L Turbo GDI SX MT
105,20,Hyundai,2017,72472,Diesel,Hyundai Tucson 
106,282799,Maruti Suzuki,2015,49263,Petrol,Maruti Suzuki Alto 800 Lxi
107,14,Kia,2020,6427,Petrol,Kia Sonet 
108,803599,Honda,2017,15856,Diesel,Honda WR V 1.5 I-DTEC VX MT
109,10,Mercedes Benz,2015,81299,Diesel,Mercedes Benz B Class B 200 CDI
110,10,Mercedes Benz,2015,81299,Diesel,Mercedes Benz B Class B 200 CDI
111,203599,Tata,2015,36322,Petrol,Tata Nano Twist XT
112,560499,Maruti Suzuki,2019,23396,Petrol,Maruti Suzuki Wagon R 
113,575799,Hyundai,2018,27145,Petrol,Hyundai Grand I10 Sportz 1.2 Kappa VTVT
114,260699,Maruti Suzuki,2017,69383,Petrol,Maruti Suzuki OMNI E 
115,366399,Renault,2017,49658,Petrol,Renault Kwid 1.0 RXT
116,485899,Hyundai,2016,80640,Petrol,Hyundai Grand I10 Sportz 1.2 Kappa VTVT
117,12,Kia,2020,19033,Petrol,Kia Seltos HTK PLUS 1.5 PETROL
118,968099,Tata,2018,17544,Petrol,Tata Nexon XZA + 1.2 PETROL A/T
119,799399,Ford,2018,33556,Petrol,Ford EcoSport Titanium 1.5 Ti VCT
120,69000,Hyundai,2006,85000,Petrol,Hyundai Getz 
121,69000,Chevrolet,2005,85000,Petrol,Chevrolet Optra 
122,99000,Ford,2010,83000,Diesel,Ford Fiesta 
123,99000,Hyundai,2008,85000,Petrol,Hyundai I10 
124,39000,Tata,2005,85000,Diesel,Tata Indica 
125,39000,Tata,2005,85000,Diesel,Tata Indica 
126,59000,Maruti Suzuki,1997,97000,Petrol,Maruti Suzuki 800 
127,74999,Tata,2003,125000,Diesel,Tata Indigo LX TDI BS III
128,148000,Hyundai,2006,98500,Petrol,Hyundai Santro Xing XL ERLX Euro III
129,953499,Tata,2020,43023,Petrol,Tata Nexon XZ Plus
130,371099,Honda,2013,43324,Petrol,Honda Amaze 1.2 VXMT I VTEC
131,15,Mahindra Jeep,2017,26627,Diesel,Mahindra Jeep Jeep Compass Limited O 2.0 Diesel
132,968099,Tata,2018,17544,Petrol,Tata Nexon XZA + 1.2 PETROL A/T
133,11,Hyundai,2017,47998,Petrol,Hyundai Creta 1.6 SX PLUS AUTO PETROL
134,496799,Renault,2012,496799,Diesel,Renault Duster RXZ DIESEL 110
135,536699,Hyundai,2016,6208,Petrol,Hyundai Grand I10 Sportz 1.2 Kappa VTVT
136,686599,Maruti Suzuki,2018,8040,Petrol,Maruti Suzuki Baleno DELTA 1.2 K12
137,681999,Honda,2016,101493,Diesel,Honda BRV 
138,414999,Renault,2019,27269,Petrol,Renault Kwid RXL
139,833199,Volkswagen,2017,37314,Petrol,Volkswagen Polo GT TSI 1.2 PETROL AT
140,833199,Volkswagen,2017,37314,Petrol,Volkswagen Polo GT TSI 1.2 PETROL AT
141,454599,Maruti Suzuki,2018,6718,Petrol,Maruti Suzuki Celerio ZXi
142,842399,Volkswagen,2019,11883,Diesel,Volkswagen Ameo Highline 1.5L
143,19,Jaguar,2015,46968,Diesel,Jaguar XF 2.2 Diesel
144,531299,Hyundai,2014,50474,Petrol,Hyundai Elite I20 Sportz 1.2
145,416499,Maruti Suzuki,2015,15441,Petrol,Maruti Suzuki Celerio VXi AMT
146,155000,Maruti Suzuki,2006,85000,Petrol,Maruti Suzuki Alto LXi BS III
147,620000,Hyundai,2018,55000,Petrol,Hyundai I20 Era 1.2
148,250000,Honda,2008,75000,Petrol,Honda CIty ZX 
149,280000,Toyota,2011,75000,Petrol,Toyota Etios G
150,890000,Tata,2018,34000,Petrol,Tata Nexon XZ Plus
151,295000,Renault,2016,41000,Petrol,Renault Kwid RXT
152,425000,Renault,2019,4224,Petrol,Renault Kwid 1.0 RXT Opt AT
153,416499,Maruti Suzuki,2015,15441,Petrol,Maruti Suzuki Celerio VXi AMT
154,416499,Maruti Suzuki,2015,15441,Petrol,Maruti Suzuki Celerio VXi AMT
155,601499,Ford,2018,20504,Petrol,Ford Figo Aspire 1.2 TITANIUM PETROL
156,646799,Honda,2015,65763,Petrol,Honda City VX O MT
157,562999,Maruti Suzuki,2018,8120,Petrol,Maruti Suzuki Ignis DELTA 1.2 K12
158,544399,Hyundai,2015,31925,Petrol,Hyundai Elite I20 Sportz 1.2
159,472899,Maruti Suzuki,2019,21199,Petrol,Maruti Suzuki Alto K10 VXi AMT
160,11,Hyundai,2018,14449,Petrol,Hyundai Creta 1.6 SX PLUS AUTO PETROL
161,2000000,Hyundai,2017,58222,Diesel,Hyundai Tucson 
162,576799,Hyundai,2018,8066,Petrol,Hyundai Grand I10 NIOS Asta Petrol
163,689699,Hyundai,2019,26447,Petrol,Hyundai Grand I10 NIOS Asta Petrol
164,736299,Hyundai,2019,20968,Petrol,Hyundai Grand I10 NIOS Asta Petrol
165,647699,Hyundai,2020,3743,Petrol,Hyundai Grand I10 SportZ Edition
166,803499,Ford,2018,50298,Diesel,Ford EcoSport Titanium Plus 1.5L TDCi
167,421499,Maruti Suzuki,2015,15893,Petrol,Maruti Suzuki Wagon R 1.0 VXi
168,11,Hyundai,2019,52492,Diesel,Hyundai Venue SX(O) CRDi
169,11,Hyundai,2019,52492,Diesel,Hyundai Venue SX(O) CRDi
170,744299,Hyundai,2019,28721,Petrol,Hyundai Grand I10 NIOS Asta Petrol
171,295000,Renault,2016,48500,Petrol,Renault Kwid RXT
172,725000,Toyota,2019,19942,Petrol,Toyota Glanza G
173,650000,Maruti Suzuki,2018,35000,Petrol,Maruti Suzuki Swift VXi 1.2 ABS BS IV
174,99000,Maruti Suzuki,2005,85000,Petrol,Maruti Suzuki Alto 
175,59000,Tata,2014,76000,Diesel,Tata Indica 
176,485000,Hyundai,2014,72600,Petrol,Hyundai I20 Asta 1.2
177,1000000,BMW,2011,38000,Diesel,BMW 5 Series 530d
178,880000,Maruti Suzuki,2019,55000,Petrol,Maruti Suzuki Ciaz ALPHA 1.4 VVT
179,433559,Renault,2017,29957,Petrol,Renault Kwid CLIMBER 1.0 AT
180,657099,Ford,2015,35347,Petrol,Ford EcoSport Titanium 1.5 Ti VCT AT
181,224799,Maruti Suzuki,2012,52465,Petrol,Maruti Suzuki Alto K10 VXi
182,544599,Maruti Suzuki,2018,30894,Petrol,Maruti Suzuki Ignis DELTA 1.2 K12
183,750699,Hyundai,2019,11089,Petrol,Hyundai Grand I10 NIOS Asta Petrol
184,750699,Hyundai,2019,11089,Petrol,Hyundai Grand I10 NIOS Asta Petrol
185,12,Hyundai,2019,60040,Diesel,Hyundai Creta 1.6 SX O
186,645799,Hyundai,2016,43354,Petrol,Hyundai Elite I20 ASTA 1.2 (O)
187,388199,Hyundai,2014,31532,Petrol,Hyundai I10 Sportz 1.1 IRDE2
188,620399,Maruti Suzuki,2016,52863,Petrol,Maruti Suzuki Baleno DELTA 1.2 K12
189,740399,Mahindra,2017,38289,Diesel,Mahindra TUV300 T8
190,424999,Volkswagen,2016,19740,Petrol,Volkswagen Polo COMFORTLINE 1.2L PETROL
191,444399,Maruti Suzuki,2016,42856,Petrol,Maruti Suzuki Wagon R 1.0 VXi
192,12,Hyundai,2017,74346,Diesel,Hyundai Creta 1.6 CRDI SX PLUS AUTO
193,10,Kia,2020,3154,Petrol,Kia Sonet 
194,325000,Hyundai,2013,70000,Petrol,Hyundai I20 Magna O 1.2
195,475000,Mahindra,2016,40000,Diesel,Mahindra TUV300 T4 Plus
196,89000,Tata,2011,85000,Diesel,Tata Indigo 
197,650000,Maruti Suzuki,2017,34000,Diesel,Maruti Suzuki Baleno DELTA DDIS 190
198,695000,Maruti Suzuki,2018,32000,Diesel,Maruti Suzuki Swift Dzire VDi
199,695000,Maruti Suzuki,2018,32000,Diesel,Maruti Suzuki Swift Dzire VDi
200,850000,Maruti Suzuki,2018,9000,Diesel,Maruti Suzuki Swift ZDI +
201,15,Hyundai,2020,23000,Diesel,Hyundai Creta 1.6 SX Plus
202,16,Toyota,2017,80000,Diesel,Toyota Innova Crysta 2.4 GX 8 STR
203,525000,Hyundai,2019,29000,Diesel,Hyundai Venue 
204,1000000,MG Motors,2020,36000,Diesel,MG Motors Hector 
205,21,Hyundai,2019,40500,Diesel,Hyundai Tucson CRDi
206,275000,Honda,2013,27000,Petrol,Honda Brio S MT
207,410000,Volkswagen,2015,72500,Petrol,Volkswagen Polo COMFORTLINE 1.2L PETROL
208,15,Kia,2019,20989,Petrol,Kia Seltos 
209,498799,Ford,2017,19376,Petrol,Ford Figo 
210,591299,Maruti Suzuki,2015,152026,Diesel,Maruti Suzuki S Cross Zeta 1.3
211,367399,Maruti Suzuki,2014,32477,Petrol,Maruti Suzuki Wagon R 1.0 Vxi
212,673599,Maruti Suzuki,2018,37995,Petrol,Maruti Suzuki Dzire VXi AMT
213,470499,Hyundai,2019,23576,Petrol,Hyundai Santro 
214,470499,Hyundai,2019,23576,Petrol,Hyundai Santro 
215,596499,Volkswagen,2019,27689,Petrol,Volkswagen Ameo 
216,976799,Volkswagen,2015,92595,Diesel,Volkswagen Jetta 
217,614499,Hyundai,2017,19594,Petrol,Hyundai Grand I10 
218,393699,Honda,2013,44940,Petrol,Honda Amaze 
219,474299,Maruti Suzuki,2015,91830,Petrol,Maruti Suzuki Swift Dzire VXi 1.2 BS IV
220,548699,Maruti Suzuki,2018,14350,Petrol,Maruti Suzuki Ignis 
221,970699,Honda,2017,30247,Petrol,Honda City VX MT Petrol
222,600000,Kia,2020,48000,Petrol,Kia Seltos 
223,750000,Maruti Suzuki,2020,15500,Petrol,Maruti Suzuki Swift VXi
224,575000,Maruti Suzuki,2021,17000,CNG,Maruti Suzuki S - Presso Vxi
225,1200000,Mercedes Benz,2011,45000,Diesel,Mercedes Benz E Class 250 CDI Elegance
226,31,BMW,2018,14000,Diesel,BMW 3 Series 320d Prestige
227,4500000,BMW,2017,65000,Diesel,BMW X5 XDrive 30d
228,10,BMW,2011,37000,Diesel,BMW 3 Series 320d
229,10,BMW,2011,37000,Diesel,BMW 3 Series 320d
230,465000,Maruti Suzuki,2016,46000,Petrol,Maruti Suzuki Swift Star LXI
231,562399,Maruti Suzuki,2017,25740,Petrol,Maruti Suzuki Swift Vxi
232,554399,Honda,2014,113779,Diesel,Honda City 
233,620399,Maruti Suzuki,2016,25021,Petrol,Maruti Suzuki Baleno 
234,562399,Maruti Suzuki,2017,38537,Petrol,Maruti Suzuki Swift Vxi
235,474699,Maruti Suzuki,2013,74594,Diesel,Maruti Suzuki Swift Dzire Vdi BS IV
236,11,Hyundai,2017,21278,Diesel,Hyundai Verna 
237,555299,Hyundai,2019,45161,Petrol,Hyundai Santro 
238,526399,Hyundai,2016,21372,Petrol,Hyundai Grand I10 Sportz 1.2 Kappa VTVT
239,504399,Maruti Suzuki,2017,43152,Petrol,Maruti Suzuki Ignis 
240,10,Hyundai,2017,66400,Petrol,Hyundai Creta 
241,620999,Hyundai,2018,2991,Petrol,Hyundai Grand I10 
242,580599,Maruti Suzuki,2016,18866,Petrol,Maruti Suzuki Baleno 
243,938099,Maruti Suzuki,2018,44460,Diesel,Maruti Suzuki Ertiga VDi SHVS
244,938099,Maruti Suzuki,2018,44460,Diesel,Maruti Suzuki Ertiga VDi SHVS
245,299199,Maruti Suzuki,2016,53266,Petrol,Maruti Suzuki Alto K10 Vxi
246,610099,Maruti Suzuki,2019,32057,Petrol,Maruti Suzuki Wagon R 
247,345599,Maruti Suzuki,2018,27957,Petrol,Maruti Suzuki Alto 800 Lxi
248,280000,Honda,2013,44000,Petrol,Honda Brio 1.2 S (O) MT IVTEC
249,325000,Honda,2011,67000,Petrol,Honda City V MT Exclusive
250,255008,Maruti Suzuki,2008,85000,Diesel,Maruti Suzuki Swift VDI OPT
251,16,MG Motors,2019,30000,Petrol,MG Motors Hector Super Hybrid 1.5 Petrol
252,180000,Maruti Suzuki,2008,90000,LPG,Maruti Suzuki Wagon R Duo Lxi
253,240000,Tata,2017,110000,Diesel,Tata Indica V2 DLS BS III
254,180000,Hyundai,2010,51000,Petrol,Hyundai I10 Sportz 1.2
255,10,Toyota,2012,131000,Diesel,Toyota Innova 2.5 VX BS III 7 STR
256,279799,Maruti Suzuki,2016,28674,Petrol,Maruti Suzuki Alto 800 Lxi
257,580599,Maruti Suzuki,2016,64275,Petrol,Maruti Suzuki Baleno 
258,838799,Volkswagen,2018,29159,Petrol,Volkswagen Polo 
259,838799,Volkswagen,2018,29159,Petrol,Volkswagen Polo 
260,307999,Maruti Suzuki,2017,41645,Petrol,Maruti Suzuki Alto 800 Vxi
261,608099,Volkswagen,2019,20975,Petrol,Volkswagen Polo 
262,436499,Maruti Suzuki,2013,67474,Diesel,Maruti Suzuki Swift VDi
263,441899,Maruti Suzuki,2016,31116,Petrol,Maruti Suzuki Wagon R 1.0 VXi AMT
264,544699,Hyundai,2017,60592,Petrol,Hyundai Grand I10 
265,355999,Hyundai,2014,63086,Petrol,Hyundai I10 Magna 1.1 IRDE2
266,472699,Renault,2019,23997,Petrol,Renault Kwid 
267,10,Skoda,2018,38779,Diesel,Skoda Rapid Style 1.5 TDI AT
268,569899,Maruti Suzuki,2019,43990,Petrol,Maruti Suzuki Wagon R 
269,687499,Maruti Suzuki,2017,53419,Petrol,Maruti Suzuki Ciaz 
270,565099,Hyundai,2020,8449,Petrol,Hyundai Santro Sportz 1.1L
271,350599,Maruti Suzuki,2018,24140,Petrol,Maruti Suzuki Alto 800 Lxi
272,570799,Hyundai,2018,35605,Petrol,Hyundai Santro 
273,735000,Hyundai,2016,26000,Petrol,Hyundai Elite I20 ASTA 1.2 (O)
274,735000,Hyundai,2016,26000,Petrol,Hyundai Elite I20 ASTA 1.2 (O)
275,700000,Maruti Suzuki,2017,26600,Petrol,Maruti Suzuki Ciaz DELTA 1.4 VVT
276,195000,Tata,2014,39500,Petrol,Tata Nano Twist XT
277,18,Audi,2011,76000,Diesel,Audi Q7 3.0 TDI Quattro Premium Plus
278,890000,BMW,2010,81000,Diesel,BMW 3 Series 320d Corporate Edition
279,245000,Nissan,2012,80000,Diesel,Nissan Micra XV Diesel
280,945000,Toyota,2020,12000,Petrol,Toyota Glanza V CVT
281,590000,Maruti Suzuki,2016,6000,Petrol,Maruti Suzuki Swift LXi 1.2 BS IV
282,690399,Ford,2016,20388,Petrol,Ford EcoSport 
283,399899,Maruti Suzuki,2014,31284,Petrol,Maruti Suzuki Wagon R 1.0 Vxi
284,838699,Maruti Suzuki,2019,29110,Diesel,Maruti Suzuki Vitara Brezza VDi
285,458799,Maruti Suzuki,2021,560,Petrol,Maruti Suzuki Alto Vxi
286,644599,Maruti Suzuki,2017,35532,Petrol,Maruti Suzuki Baleno 
287,509299,Tata,2018,47208,Petrol,Tata Tiago 
288,355999,Hyundai,2014,49442,Petrol,Hyundai I10 Magna 1.1 IRDE2
289,355999,Hyundai,2014,49442,Petrol,Hyundai I10 Magna 1.1 IRDE2
290,414099,Volkswagen,2014,87375,Diesel,Volkswagen Polo 
291,19,Mahindra,2020,13584,Diesel,Mahindra XUV 500 
292,297299,Hyundai,2015,70656,Petrol,Hyundai Eon Era Plus
293,476199,Maruti Suzuki,2020,21269,Petrol,Maruti Suzuki S - Presso Vxi
294,341699,Maruti Suzuki,2018,13938,Petrol,Maruti Suzuki Alto 800 Lxi
295,457899,Hyundai,2018,24681,Petrol,Hyundai Santro 
296,594799,Hyundai,2017,59520,Petrol,Hyundai Grand I10 
297,508699,Volkswagen,2017,38647,Petrol,Volkswagen Ameo Comfortline 1.2L
298,459699,Hyundai,2014,75527,Petrol,Hyundai Grand I10 
299,495000,Honda,2017,56000,Petrol,Honda Brio S MT
300,475000,Maruti Suzuki,2017,56000,Petrol,Maruti Suzuki Wagon R VXi BS III
301,600000,Hyundai,2019,29000,Diesel,Hyundai Venue 
302,3700000,Volvo,2016,110000,Diesel,Volvo XC90 D5 AWD
303,735000,Mahindra,2013,95000,Diesel,Mahindra XUV 500 W8
304,735000,Mahindra,2013,95000,Diesel,Mahindra XUV 500 W8
305,13,Toyota,2012,170000,Diesel,Toyota Fortuner 3.0 4x2 MT
306,365000,Honda,2013,80000,Petrol,Honda Jazz VX MT
307,280000,Hyundai,2011,58000,Petrol,Hyundai I10 Asta 1.2 Kappa2
308,339799,Hyundai,2017,61295,Petrol,Hyundai Eon Magna Plus
309,495499,Maruti Suzuki,2018,38955,Petrol,Maruti Suzuki Wagon R 1.0 VXi
310,223299,Maruti Suzuki,2013,84301,Petrol,Maruti Suzuki Alto 800 Lxi
311,529699,Maruti Suzuki,2016,50141,Petrol,Maruti Suzuki Swift ZXi
312,896799,Maruti Suzuki,2018,31919,Diesel,Maruti Suzuki Vitara Brezza ZDi
313,524099,Hyundai,2019,27830,Petrol,Hyundai Santro 
314,440599,Maruti Suzuki,2017,76671,Petrol,Maruti Suzuki Celerio ZXI
315,688199,Renault,2019,24180,Petrol,Renault Triber 
316,506399,Maruti Suzuki,2017,11121,Petrol,Maruti Suzuki Wagon R 1.0 VXi Opt
317,275599,Maruti Suzuki,2014,54111,Petrol,Maruti Suzuki Alto 800 Lxi
318,476199,Maruti Suzuki,2020,3881,Petrol,Maruti Suzuki S - Presso Vxi
319,476199,Maruti Suzuki,2020,3881,Petrol,Maruti Suzuki S - Presso Vxi
320,695199,Hyundai,2016,30731,Petrol,Hyundai Elite I20 Asta 1.2
321,456099,Maruti Suzuki,2018,74760,Petrol,Maruti Suzuki Wagon R 1.0 Vxi
322,396999,Hyundai,2013,48699,Petrol,Hyundai Grand I10 
323,362599,Maruti Suzuki,2015,49076,Petrol,Maruti Suzuki Alto K10 VXi AMT
324,338999,Maruti Suzuki,2011,49647,Petrol,Maruti Suzuki Ritz Lxi
325,840000,Tata,2019,22000,Diesel,Tata Nexon XM Diesel
326,650000,Ford,2018,54000,Diesel,Ford Freestyle TITANIUM 1.2 TI-VCT MT
327,575000,Maruti Suzuki,2017,40000,Petrol,Maruti Suzuki Swift ZXI ABS
328,3000000,Mahindra Jeep,2021,10000,Diesel,Mahindra Jeep Jeep Compass Limited 2.0 Diesel 4x4
329,290000,Volkswagen,2010,89000,Petrol,Volkswagen Polo HIGHLINE1.2L PETROL
330,17,Mahindra,2021,9826,Diesel,Mahindra Thar DI 4WD
331,650000,Ford,2017,83000,Petrol,Ford EcoSport Trend 1.5 Ti VCT
332,73000,Honda,2001,195000,Petrol,Honda City 1.5 S Elegance
333,774899,Honda,2016,27576,Petrol,Honda City V MT PETROL
334,774899,Honda,2016,27576,Petrol,Honda City V MT PETROL
335,501599,Hyundai,2016,63075,Petrol,Hyundai Grand I10 Sportz 1.2 Kappa VTVT
336,656599,Honda,2017,23333,Petrol,Honda Jazz 
337,492399,Maruti Suzuki,2019,32279,Petrol,Maruti Suzuki Eeco 
338,650699,Hyundai,2016,75012,Petrol,Hyundai I20 Active 1.2 SX
339,620099,Mahindra,2016,35826,Diesel,Mahindra TUV300 
340,730899,Hyundai,2017,13687,Petrol,Hyundai Elite I20 Asta 1.2
341,740899,Hyundai,2019,31172,Petrol,Hyundai Elite I20 
342,501199,Maruti Suzuki,2016,147960,Diesel,Maruti Suzuki Swift VDi ABS
